"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"marmoset","Inh SST KIRREL3","CS201912132_31","mouse","Pvalb Reln","CS202002013_54",19.8516474276601,0.437858472611155
"marmoset","Inh SST LOC103788660","CS201912132_32","mouse","Pvalb Reln","CS202002013_54",20.2639505590446,0.425038726536439
"marmoset","Inh SST VAPA","CS201912132_39","mouse","Pvalb Reln","CS202002013_54",20.6478999970774,0.413100582179927
"marmoset","Inh SST LOC108589054","CS201912132_27","mouse","Pvalb Reln","CS202002013_54",21.1446812501123,0.39765415688308
"marmoset","Inh SST P4HA1","CS201912132_36","mouse","Pvalb Reln","CS202002013_54",21.5118284957584,0.386238443290488
"marmoset","Inh SST ABI3BP","CS201912132_34","mouse","Pvalb Reln","CS202002013_54",21.7034778530489,0.380279487588171
"marmoset","Inh SST TMEFF2","CS201912132_35","mouse","Pvalb Reln","CS202002013_54",21.731353729658,0.379412742631521
"marmoset","Inh SST MPP5","CS201912132_30","mouse","Pvalb Reln","CS202002013_54",22.7864629733996,0.346606218605297
"marmoset","Inh PAX6 MEIS2","CS201912132_26","mouse","Pvalb Reln","CS202002013_54",23.0909414749978,0.337139065002579
"marmoset","Inh SST PCSK5","CS201912132_40","mouse","Pvalb Reln","CS202002013_54",23.2587458146531,0.331921522711807
"marmoset","Inh SST AIM1","CS201912132_38","mouse","Pvalb Reln","CS202002013_54",23.4622003512218,0.325595508432455
"marmoset","Inh SST CBLN4","CS201912132_33","mouse","Pvalb Reln","CS202002013_54",23.5419076782398,0.323117167583493
"marmoset","Inh PAX6 ANKRD6","CS201912132_9","mouse","Pvalb Reln","CS202002013_54",23.9591294829917,0.310144485140376
"marmoset","Inh VIP LOC108589153","CS201912132_19","mouse","Pvalb Reln","CS202002013_54",24.0254205661519,0.308083295718219
"marmoset","Inh SNCG LOC108587895","CS201912132_18","mouse","Pvalb Reln","CS202002013_54",24.094161098326,0.305945945549295
"marmoset","Inh SST LOC108588801","CS201912132_28","mouse","Pvalb Reln","CS202002013_54",24.0967110033359,0.305866661323071
"marmoset","Inh VIP FIGN","CS201912132_20","mouse","Pvalb Reln","CS202002013_54",24.1261377050325,0.30495169654388
"marmoset","Inh VIP GPR149","CS201912132_21","mouse","Pvalb Reln","CS202002013_54",24.6134405431276,0.289799983713347
"marmoset","Inh VIP LOC100397259","CS201912132_16","mouse","Pvalb Reln","CS202002013_54",24.6173788305871,0.289677530495418
